airport,latitude,longitude,y_passengers
Adolfo Suárez Madrid - Barajas,40.4920796899595,-3.57631884464257,60220984
Albacete,38.9496344716691,-1.86316358278324,2644
Alicante-Elche Miguel Hernández,38.285826141323,-0.563348514739952,15747678
Almería,36.84478113166,-2.37123378142463,775393
Asturias,43.5621961577202,-6.03261831701245,1974850
Badajoz,38.8898447912335,-6.82112054312309,80181
Bilbao,43.3025065212424,-2.90835791012765,6336441
Burgos,42.3543301392194,-3.62168523164284,4053
César Manrique - Lanzarote,28.9510445490425,-13.6050201560167,8212943
Córdoba,37.8438687467462,-4.84694700411443,5938
El Hierro,27.8148410023318,-17.886954036627,301241
Federico García Lorca Granada-Jaén,37.1868259276527,-3.7786126652442,1039429
Fuerteventura,28.4505673866539,-13.8661985363058,6020413
Gerona - Costa Brava,41.9009329638745,2.76377619505416,1586463
Gran Canaria,27.9311112769043,-15.3870942940345,13961638
Huesca-Pirineos,42.0766216191812,-0.317632963895441,276
Ibiza,38.8743519991843,1.37266900621894,8931598
Internacional Región de Murcia,37.7730740800218,-0.816984937245996,877796
Jerez,36.7438277047636,-6.06265814809837,904000
Josep Tarradellas Barcelona-El Prat,41.2963022390507,2.0850252848446,49220984
La Coruña,43.3027177882044,-8.37750165001967,1252022
La Gomera,28.0311629769914,-17.2119697040132,113318
La Palma,28.622083606032,-17.7536532570936,1368821
León,42.5898283308143,-5.65446326617617,63442
Logroño - Agoncillo,42.4595949051361,-2.31727738297909,16728
Madrid - Cuatro vientos,40.3706276418216,-3.78510333992167,1956
Melilla,35.2792317919421,-2.9559348902437,501069
Menorca,39.8644836446801,4.22138582966278,4045215
Málaga - Costa del Sol,36.6763094349338,-4.49669999056667,22344373
Palma de Mallorca,39.5498684081411,2.73182505626748,31105987
Pamplona,42.7651075067292,-1.64277400477519,197509
Reus,41.1464914532835,1.15850503879409,1045419
Sabadell,41.5209971147811,2.1047916346933,6207
Salamanca ,40.9507572740961,-5.50295520159722,21083
San Sebastián,43.3564094228721,-1.79160586505353,482662
Santiago-Rosalía de Castro,42.8974221736902,-8.41796100595012,3537445
Severiano Ballesteros-Santander,43.4261455946876,-3.82281575820605,1242089
Sevilla,37.4197490237682,-5.89862365719406,8071524
Son Bonet,39.601477659237,2.70527413442138,10061
Tenerife Norte-Ciudad de La Laguna,28.4858112731997,-16.3476386680522,6120550
Tenerife Sur ,28.0454877688653,-16.5753063057623,12337244
Valencia,39.49096862777,-0.480521208090487,9948141
Valladolid,41.7090200550144,-4.84825418939675,208923
Vigo,42.2257396738914,-8.63049115796039,1136157
Vitoria,42.8791584512708,-2.73115816137358,309929
Zaragoza,41.6705496981929,-1.06034883791556,685690
